clientnum,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,months_on_book,total_relationship_count,months_inactive_12_mon,contacts_count_12_mon,credit_limit,total_revolving_bal,avg_open_to_buy,total_amt_chng_q4_q1,total_trans_amt,total_trans_ct,total_ct_chng_q4_q1,avg_utilization_ratio,naive_bayes_classifier_attrition_flag_card_category_contacts_count_12_mon_dependent_count_education_level_months_inactive_12_mon_1,naive_bayes_classifier_attrition_flag_card_category_contacts_count_12_mon_dependent_count_education_level_months_inactive_12_mon_2,churn_flag
719084358,55,F,1,Graduate,Married,Less than $40K,Blue,46,6,4,3,4232.0,0,4232.0,0.878,2312,37,0.609,0.0,0.9971,0.00290471,1
779474958,35,F,3,Unknown,Single,Less than $40K,Blue,17,6,1,1,2956.0,1823,1133.0,0.969,2144,58,0.812,0.617,3.7884e-05,0.99996,0
711706458,44,M,4,Doctorate,Married,$80K - $120K,Blue,27,1,2,1,24134.0,1290,22844.0,0.814,13311,110,0.642,0.053,0.00010417,0.9999,0
720706008,30,M,2,Post-Graduate,Single,$40K - $60K,Blue,16,5,3,5,4533.0,1977,2556.0,0.664,2679,69,0.605,0.436,0.0010502,0.99895,0
717267108,37,M,1,College,Single,$60K - $80K,Blue,26,6,3,2,15755.0,1410,14345.0,0.839,2061,61,0.649,0.089,0.00016415,0.99984,0
711840408,64,M,0,College,Married,Less than $40K,Blue,55,5,3,4,2492.0,1424,1068.0,0.485,1375,30,0.364,0.571,0.00043053,0.99957,0
714431058,41,F,3,College,Single,Unknown,Blue,36,4,2,4,4210.0,1597,2613.0,0.733,4342,72,0.674,0.379,0.00032945,0.99967,0
711455133,55,M,3,College,Single,$120K +,Blue,36,5,3,3,12948.0,1839,11109.0,1.113,2481,42,0.68,0.142,0.00030519,0.99969,0
779445108,26,M,0,Graduate,Single,$40K - $60K,Blue,13,6,1,2,3290.0,1616,1674.0,0.466,2781,54,0.35,0.491,4.7263e-05,0.99995,0
713803158,41,M,3,High School,Single,$60K - $80K,Blue,33,4,1,3,9246.0,0,9246.0,0.658,4611,91,0.569,0.0,9.3448e-05,0.99991,0
718825908,60,F,1,Doctorate,Single,Unknown,Blue,47,1,1,1,3803.0,1448,2355.0,0.565,4575,78,0.592,0.381,4.5115e-05,0.99995,0
757854858,50,M,2,Unknown,Married,$60K - $80K,Blue,43,4,3,4,3143.0,0,3143.0,0.764,2297,37,0.321,0.0,0.99824,0.00175907,1
713274183,45,F,1,Graduate,Single,Less than $40K,Blue,35,1,1,3,4977.0,1411,3566.0,0.652,4182,85,0.848,0.284,8.6952e-05,0.99991,0
778992108,57,M,2,Unknown,Married,$120K +,Blue,45,5,3,3,5266.0,0,5266.0,1.702,1516,29,1.636,0.0,0.00033251,0.99967,0
719314683,50,F,2,Unknown,Divorced,Less than $40K,Blue,36,3,2,4,2855.0,527,2328.0,0.678,3645,69,0.605,0.185,0.00035894,0.99964,0
709176108,56,F,4,Post-Graduate,Unknown,Less than $40K,Blue,49,5,3,3,4604.0,621,3983.0,0.814,4586,79,0.646,0.135,0.00037329,0.99963,0
715381533,42,F,4,Post-Graduate,Single,Less than $40K,Blue,36,6,2,3,1438.3,674,764.3,1.769,2451,55,1.292,0.469,0.00023623,0.99976,0
758106108,45,F,2,Uneducated,Single,Less than $40K,Blue,38,3,2,1,7486.0,1758,5728.0,0.613,4604,70,0.707,0.235,7.0576e-05,0.99993,0
712052058,57,M,3,Graduate,Single,$40K - $60K,Blue,48,3,3,0,9426.0,1574,7852.0,0.791,4212,75,0.531,0.167,6.8853e-05,0.99993,0
772399983,55,M,2,College,Single,$80K - $120K,Silver,45,3,1,4,34516.0,1433,33083.0,0.728,1966,31,0.55,0.042,0.00013883,0.99986,0
719217483,45,F,4,Doctorate,Married,Less than $40K,Blue,36,5,1,2,3240.0,1775,1465.0,0.754,4200,67,0.675,0.548,8.3588e-05,0.99992,0
720272958,48,M,2,High School,Married,$120K +,Blue,36,3,3,3,27126.0,0,27126.0,0.953,1000,25,0.786,0.0,0.99661,0.00338788,1
716559108,47,F,1,High School,Single,Less than $40K,Blue,36,6,2,3,2899.0,2418,481.0,0.575,4296,68,0.838,0.834,0.00017468,0.99983,0
712161858,55,F,5,Unknown,Single,Less than $40K,Blue,36,4,2,3,1438.3,0,1438.3,0.571,2244,54,0.929,0.0,0.99542,0.00458119,1
711742758,43,F,5,College,Single,$40K - $60K,Blue,32,2,3,1,11508.0,0,11508.0,1.005,5242,74,0.574,0.0,0.9909,0.0091,1
793952133,32,F,0,High School,Married,Less than $40K,Blue,26,6,2,3,2778.0,2312,466.0,0.727,1680,33,1.062,0.832,0.0001597,0.99984,0
715047333,57,F,1,High School,Married,Unknown,Blue,36,5,2,3,1734.0,980,754.0,0.639,4313,92,0.917,0.565,0.00017468,0.99983,0
803342358,55,M,3,Graduate,Married,$60K - $80K,Blue,49,3,1,4,5668.0,2517,3151.0,0.704,3382,56,0.931,0.444,0.00016399,0.99984,0
811076883,45,M,3,Graduate,Married,$40K - $60K,Blue,40,1,4,3,7979.0,0,7979.0,0.465,5056,63,0.853,0.0,0.99737,0.0026282,1
721124658,40,M,3,Uneducated,Single,$80K - $120K,Blue,27,4,2,3,3427.0,0,3427.0,0.5,2625,63,0.5,0.0,0.99513,0.00487126,1
713681433,50,F,2,High School,Divorced,Unknown,Blue,39,5,2,4,9716.0,874,8842.0,0.775,5007,91,0.655,0.09,0.00031746,0.99968,0
789613083,47,M,3,Uneducated,Divorced,$60K - $80K,Blue,41,2,3,3,1943.0,0,1943.0,0.494,5108,81,0.884,0.0,0.00032275,0.99968,0
708884658,48,F,2,Graduate,Married,Less than $40K,Blue,31,5,1,1,2315.0,1565,750.0,0.873,4828,90,0.8,0.676,3.3214e-05,0.99997,0
716670783,52,F,3,Doctorate,Single,Unknown,Blue,36,3,2,1,24703.0,1085,23618.0,0.998,4776,63,0.575,0.044,0.00010307,0.9999,0
798777708,54,F,4,High School,Single,$40K - $60K,Blue,48,2,4,1,3089.0,1177,1912.0,1.01,5237,75,0.829,0.381,0.00013366,0.99987,0
712784058,45,F,2,High School,Divorced,Unknown,Blue,36,6,4,3,17156.0,2517,14639.0,0.717,1142,33,0.32,0.147,0.9972,0.00280488,1
710821833,65,M,1,Unknown,Married,$40K - $60K,Blue,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,0.00019751,0.9998,0
717247383,48,M,4,Graduate,Single,$40K - $60K,Blue,36,5,2,3,7514.0,0,7514.0,0.514,4789,69,0.408,0.0,0.00020077,0.9998,0
712624383,52,M,4,College,Single,$80K - $120K,Silver,41,1,1,2,34516.0,1701,32815.0,0.715,7707,99,0.5,0.049,5.0742e-05,0.99995,0
721306908,61,F,1,Graduate,Single,Unknown,Blue,44,4,3,2,2303.0,540,1763.0,0.57,3440,46,0.704,0.234,0.00016883,0.99983,0
788824083,41,M,2,Uneducated,Single,$120K +,Blue,24,2,2,1,34516.0,1022,33494.0,0.743,8202,88,0.913,0.03,7.0576e-05,0.99993,0
719574033,38,M,1,High School,Single,$60K - $80K,Blue,28,2,2,2,21906.0,0,21906.0,0.696,15349,119,0.7,0.0,0.00010386,0.9999,0
718621608,54,F,2,High School,Married,Unknown,Blue,44,3,3,1,6094.0,0,6094.0,1.129,909,14,0.273,0.0,0.99061,0.00939,1
772177308,47,F,2,Unknown,Unknown,Less than $40K,Blue,36,4,2,2,1738.0,0,1738.0,1.124,2572,62,0.938,0.0,0.00012511,0.99987,0
719525358,52,M,0,Graduate,Single,$80K - $120K,Blue,43,4,3,3,8133.0,1942,6191.0,0.572,3310,76,0.583,0.239,0.0002596,0.99974,0
709488108,42,M,4,College,Single,$40K - $60K,Blue,36,5,2,3,10543.0,0,10543.0,0.509,1841,39,0.5,0.0,0.9949,0.0051,1
758367933,56,M,2,Uneducated,Single,$80K - $120K,Blue,49,5,3,2,5466.0,0,5466.0,0.587,4435,79,0.881,0.0,0.00018494,0.99982,0
716816583,61,M,0,Graduate,Married,$60K - $80K,Blue,48,1,3,1,15483.0,2148,13335.0,0.738,14463,94,0.774,0.139,9.3087e-05,0.99991,0
712055433,39,F,4,High School,Married,Less than $40K,Blue,36,2,2,1,3600.0,2072,1528.0,0.94,14137,116,0.966,0.576,6.9982e-05,0.99993,0
779135808,56,F,2,Doctorate,Single,$40K - $60K,Blue,38,5,1,4,3609.0,1026,2583.0,0.67,4318,81,0.588,0.284,0.00022869,0.99977,0
789070233,51,F,3,Graduate,Divorced,Less than $40K,Blue,39,5,4,3,2987.0,1764,1223.0,0.686,4339,72,0.6,0.591,0.00037935,0.99962,0
717650133,41,M,5,Graduate,Single,$60K - $80K,Blue,28,5,1,4,4821.0,1426,3395.0,0.898,3571,58,0.933,0.296,0.00016316,0.99984,0
713980383,49,F,3,Graduate,Single,Unknown,Blue,38,1,2,4,11025.0,0,11025.0,0.501,1902,28,0.273,0.0,0.99706,0.00294141,1
771928608,34,M,1,Uneducated,Single,$60K - $80K,Blue,23,6,1,1,2033.0,1832,201.0,0.938,4110,74,0.947,0.901,3.2055e-05,0.99997,0
710150208,44,F,4,Post-Graduate,Divorced,Less than $40K,Blue,26,4,1,3,2295.0,1250,1045.0,0.912,3834,69,0.643,0.545,0.00011432,0.99989,0
712050933,48,M,4,College,Married,$80K - $120K,Blue,32,5,2,3,25190.0,0,25190.0,0.467,1533,41,0.323,0.0,0.9949,0.0051,1
711509658,61,M,2,Graduate,Married,$120K +,Blue,49,3,0,4,11374.0,2517,8857.0,1.015,1088,26,1.167,0.221,0.98319,0.01681,1
811604133,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,0.00020735,0.99979,0
710752233,43,F,5,High School,Unknown,$40K - $60K,Blue,24,3,2,2,4430.0,2203,2227.0,1.046,2742,49,0.4,0.497,0.99132,0.00868,1
718308558,49,F,4,Graduate,Divorced,Less than $40K,Blue,37,2,6,1,1838.0,1155,683.0,0.742,7688,93,0.409,0.628,8.9806e-05,0.99991,0
717945108,49,F,3,Graduate,Unknown,$40K - $60K,Blue,36,6,1,2,3088.0,1477,1611.0,0.748,5095,77,0.833,0.478,5.7151e-05,0.99994,0
788941983,36,F,3,Graduate,Single,$40K - $60K,Blue,22,1,3,1,2013.0,0,2013.0,0.602,2425,50,0.923,0.0,0.9912,0.0088,1
780881358,35,M,3,Graduate,Single,$40K - $60K,Silver,17,6,3,2,16659.0,0,16659.0,1.012,2551,74,0.609,0.0,0.00016865,0.99983,0
710771433,48,M,1,Graduate,Single,$80K - $120K,Blue,36,1,3,1,2754.0,2152,602.0,0.821,13991,125,0.761,0.781,0.00010182,0.9999,0
719751483,39,F,2,Uneducated,Single,Less than $40K,Blue,36,4,3,1,1438.3,576,862.3,0.849,2567,48,0.6,0.4,0.99111,0.00889,1
778378983,54,F,1,Graduate,Single,Less than $40K,Blue,34,5,2,2,2939.0,2152,787.0,0.555,2476,42,0.355,0.732,0.99073,0.00927,1
780326883,53,M,2,Doctorate,Married,$60K - $80K,Blue,40,3,3,3,11262.0,1435,9827.0,0.735,2165,61,0.649,0.127,0.00043772,0.99956,0
826808208,60,F,0,High School,Single,$40K - $60K,Blue,56,3,5,2,2213.0,829,1384.0,0.639,4210,84,0.714,0.375,0.0001676,0.99983,0
717385983,30,M,0,Graduate,Married,Less than $40K,Blue,21,6,6,2,2490.0,0,2490.0,0.859,1645,30,0.667,0.0,0.00012185,0.99988,0
779841483,55,F,1,Doctorate,Married,Unknown,Blue,39,1,3,3,12972.0,1424,11548.0,0.525,2238,36,0.2,0.11,0.99757,0.00242697,1
719591283,38,M,2,Uneducated,Married,Less than $40K,Blue,27,6,2,4,1438.3,0,1438.3,0.945,2412,58,0.657,0.0,0.00033577,0.99966,0
793412958,44,M,4,Unknown,Married,$60K - $80K,Blue,38,3,1,3,2440.0,1501,939.0,0.744,4382,88,0.66,0.615,0.00010679,0.99989,0
819616383,40,F,3,Uneducated,Divorced,Less than $40K,Blue,35,2,3,3,4772.0,2004,2768.0,0.696,14748,118,0.761,0.42,0.00032275,0.99968,0
713908683,51,M,1,Unknown,Single,$80K - $120K,Blue,41,6,2,2,18749.0,1314,17435.0,0.711,1381,33,0.435,0.07,0.00011743,0.99988,0
708878508,45,F,3,High School,Married,Less than $40K,Blue,37,4,1,3,2104.0,1267,837.0,0.677,1732,35,1.059,0.602,9.3448e-05,0.99991,0
708558408,50,M,3,High School,Single,$40K - $60K,Blue,31,5,3,3,9949.0,1597,8352.0,0.659,3776,83,0.596,0.161,0.00030516,0.99969,0
711556533,43,F,1,Graduate,Unknown,Unknown,Blue,36,6,3,3,9851.0,0,9851.0,1.034,1212,24,0.6,0.0,0.00028395,0.99972,0
